,Q1Income,Q1Foodaway,Q1Cereal,Q1Foodhome,Q2Income,Q2Foodaway,Q2Cereal,Q2Foodhome,Q3Income,Q3Foodaway,Q3Cereal,Q3Foodhome,Q4Income,Q4Foodaway,Q4Cereal,Q4Foodhome,Q5Income,Q5Foodaway,Q5Cereal,Q5Foodhome,Year,State
Year,9272.31,14.23,3.51,68.84,40585.14,33.37,5.65,137.23,68146.23,59.38,6.76,164.44,98288.93,75.71,8.44,134.19,209458.17,84.65,3.54,213.14,2019,Alaska
Year,13143.38,28.37,3.03,68.02,37247.32,57.28,1.65,51.57,67139.73,85.04,4.44,96.72,105632.12,90.68,3.64,125.98,218909.28,104.7,7.74,163.32,2019,Alabama
Year,12366.35,20.38,2.4,62.14,38516.44,18.87,2.34,45.95,66838.28,55.04,4.02,119.76,107487.18,95.18,6.57,114.16,209255.19,118.65,4.13,94.37,2018,Wisconsin
Year,10074.8,58.8,3.01,68.58,38707.91,67.72,3.53,66.96,64625.08,70.19,5.28,115.81,110374.56,103.47,8.2,172.72,248355.19,95.28,5.36,151.38,2018,Washington
Year,11434.1,51.95,3.13,63.09,37343.95,42.61,5.14,111.38,65469.64,63.44,4.7,114.97,108377.1,72.71,5.62,113.81,232283.35,114.19,9.51,191.48,2018,Virginia
Year,12438.6,21.58,3.65,85.82,37536.14,40.4,3.35,79.59,66945.78,63.46,6.28,103.06,103779.62,84.44,8.65,166.89,219930.22,90.93,9.13,185.26,2018,Utah
Year,10980.89,25.35,2.06,59.66,37952.4,48.37,3.0,69.91,65505.41,56.21,1.86,66.31,103804.73,78.15,4.28,90.62,229218.14,105.35,4.89,154.4,2018,Texas
Year,12262.98,32.85,0.6,52.97,36438.42,29.99,2.07,58.87,68011.13,74.93,4.86,115.1,99929.16,43.11,4.12,86.09,220505.65,107.99,6.3,102.08,2018,Tennessee
Year,,,,,,,,,,,,,,,,,,,,,2018,South Dakota
Year,14394.4,34.24,1.87,86.71,37130.53,70.06,3.25,77.5,63065.67,43.76,2.76,103.76,100508.5,109.66,4.75,117.2,270658.47,126.91,7.54,225.46,2018,South Carolina
Year,,,,,,,,,,,,,,,,,,,,,2018,Rhode Island
Year,13648.3,32.52,2.89,64.1,36947.72,54.2,2.1,73.82,66044.75,54.43,2.28,84.57,104550.91,86.38,5.35,140.43,229208.79,78.84,7.36,160.82,2018,Pennsylvania
Year,11543.32,50.59,3.56,61.76,38501.0,43.62,4.26,82.58,70517.27,46.14,3.37,85.94,103001.21,77.04,5.0,115.38,214298.88,141.52,8.27,165.77,2018,Oregon
Year,13786.26,18.66,0.47,66.89,37342.03,28.19,4.32,98.81,63333.49,38.54,1.92,79.5,98892.8,97.58,1.41,61.57,229963.85,95.33,2.59,89.59,2018,Oklahoma
Year,12205.22,32.84,2.21,43.0,38113.31,44.07,1.29,59.61,65634.95,49.09,2.32,73.7,108200.25,69.69,4.72,113.98,202818.64,153.61,4.88,129.68,2018,Ohio
Year,11172.95,39.28,2.28,63.91,37019.41,41.71,2.24,83.49,63804.3,62.86,4.06,82.21,102817.89,85.58,5.46,121.29,220865.06,106.1,5.55,149.68,2018,North Carolina
Year,10610.47,40.05,3.96,83.98,38224.32,47.78,5.45,97.01,67548.68,59.56,3.03,107.29,107493.23,116.33,5.79,126.25,230251.83,126.38,6.28,149.78,2018,New York
Year,9823.12,50.4,2.73,69.72,38327.44,55.19,3.15,101.7,66979.58,43.08,3.43,104.12,106691.65,73.26,4.89,92.11,205768.82,72.83,6.88,139.98,2018,New Jersey
Year,12804.0,52.94,9.16,192.36,32922.0,0.0,0.86,48.72,,,,,113377.2,58.48,3.5,57.32,205000.0,121.65,11.53,73.68,2018,New Hampshire
Year,9598.45,33.91,2.82,67.82,34521.74,63.13,4.56,115.78,62447.29,96.31,3.75,120.52,104005.14,61.84,9.56,152.1,205859.72,219.76,2.9,160.69,2018,Nevada
Year,16209.99,35.4,2.41,44.48,38987.15,48.24,1.69,70.19,66200.26,52.11,3.66,81.2,106365.66,110.63,4.7,128.04,216800.76,87.9,6.25,129.35,2018,Nebraska
Year,,,,,,,,,,,,,,,,,,,,,2018,Montana
Year,11356.77,55.18,2.93,66.96,35569.0,239.71,4.49,247.71,64633.55,104.46,1.83,91.92,107789.03,83.69,10.8,204.95,236549.41,92.82,4.14,133.19,2018,Missouri
Year,10137.54,14.13,1.62,31.86,38632.35,57.75,2.24,93.12,63531.38,39.88,5.07,79.43,96443.9,74.21,2.42,100.98,224694.3,40.31,3.22,132.76,2018,Mississippi
Year,13394.2,49.73,0.7,39.6,39107.79,32.68,2.88,79.69,66242.12,37.14,2.45,90.93,107594.52,87.28,2.28,107.04,217436.18,146.88,5.15,171.41,2018,Minnesota
Year,13224.9,39.9,2.02,54.5,35578.89,69.51,2.46,83.59,65823.33,50.43,3.89,100.52,107396.38,81.76,4.15,102.14,237823.7,115.32,2.75,82.61,2018,Michigan
Year,11195.0,30.58,2.87,71.7,35255.67,81.3,4.62,90.67,68658.98,59.46,2.02,78.79,100576.51,70.16,4.64,117.21,226727.57,143.79,4.98,142.79,2018,Massachuse
Year,12055.64,34.13,3.76,62.0,36769.86,61.52,7.46,82.2,66528.44,80.19,1.07,70.57,106087.36,116.91,10.36,135.81,208721.46,100.17,5.33,161.78,2018,Maryland
Year,,,,,,,,,,,,,,,,,,,,,2018,Maine
Year,11263.06,36.57,2.3,49.64,37534.29,29.59,2.96,63.47,66828.86,564.98,3.84,58.74,105982.88,48.82,1.05,84.19,225724.42,62.4,3.93,128.21,2018,Louisiana
Year,12256.01,21.04,2.54,66.82,37922.6,51.59,0.47,54.67,63499.18,49.32,4.25,100.27,107890.67,50.91,7.93,143.62,203838.97,84.31,10.66,166.41,2018,Kentucky
Year,10350.12,34.68,2.84,56.06,38834.21,40.33,3.3,104.89,64412.8,83.86,2.36,88.26,104604.0,59.79,0.98,45.03,194499.73,100.3,5.53,66.19,2018,Kansas
Year,17613.07,37.18,5.56,170.24,30000.0,63.37,0.0,9.77,57930.33,22.12,6.12,75.31,,,,,270984.27,83.44,3.85,41.11,2018,Iowa
Year,6000.0,14.8,1.16,60.54,38964.63,90.73,3.63,118.39,64139.4,1.29,0.0,42.1,103100.04,136.66,2.38,78.39,281865.23,102.99,6.66,97.79,2018,Indiana
Year,10942.55,32.59,1.77,69.23,36707.54,40.26,4.47,78.56,64392.83,81.13,2.14,75.96,106704.45,73.47,5.3,128.77,222402.62,142.54,9.47,171.25,2018,Illinois
Year,,,,,,,,,,,,,,,,,,,,,2018,Idaho
Year,13099.69,45.23,1.95,59.56,36123.12,61.03,2.09,63.34,64894.13,107.78,13.44,191.74,100276.87,129.82,4.13,116.88,294353.45,199.71,4.59,176.16,2018,Hawaii
Year,10363.12,30.82,7.28,80.61,38561.93,39.43,2.08,56.94,64530.56,78.68,1.91,69.03,113334.27,95.17,8.9,90.1,209505.29,126.16,6.15,135.38,2018,Georgia
Year,13002.1,32.31,2.28,61.75,36979.47,45.26,3.49,93.22,63246.02,55.86,3.84,90.97,102676.17,81.17,2.71,96.2,191296.87,109.07,4.1,133.03,2018,Florida
Year,12105.4,0.0,0.0,0.0,41700.0,77.46,1.24,102.88,75000.0,310.66,7.55,149.45,90000.0,0.0,0.0,0.0,202071.28,175.0,1.2,104.06,2018,District of Columbia
Year,9224.0,22.16,6.14,83.36,36880.3,21.44,0.0,67.76,52640.0,92.51,2.58,54.44,85000.0,360.46,4.1,103.9,225213.85,113.1,4.47,152.87,2018,Delaware
Year,13529.06,33.17,1.96,55.35,42073.21,37.02,6.78,126.78,66745.27,81.81,4.14,123.17,102492.2,87.16,4.2,119.15,214951.92,83.8,8.08,159.36,2018,Connecticut
Year,8039.92,5.45,1.91,38.82,39157.83,18.14,2.16,72.62,62800.86,61.19,2.36,123.16,112110.42,125.0,4.61,97.66,228497.97,143.36,5.72,158.29,2018,Colorado
Year,11780.56,35.53,2.3,72.4,37043.46,67.82,3.12,80.91,65898.22,80.91,3.68,104.8,107087.08,109.89,3.87,120.82,237743.16,142.99,7.43,157.77,2018,California
Year,,,,,,,,,,,,,,,,,,,,,2018,Arkansas
Year,14102.43,43.33,2.68,73.7,37805.03,35.11,2.9,68.46,63716.23,35.33,3.08,97.1,106798.04,107.25,5.02,56.38,214045.34,195.99,6.45,131.28,2018,Arizona
Year,13629.85,16.53,1.91,66.32,38996.03,50.05,8.84,172.68,68025.67,33.57,2.52,137.64,100880.18,67.66,2.44,88.85,221369.6,137.93,3.3,156.47,2018,Alaska
Year,12843.64,35.02,3.02,65.46,37464.94,32.66,2.11,56.1,64964.35,60.34,4.78,111.25,108413.75,106.53,1.56,74.84,223606.81,74.32,5.87,132.12,2018,Alabama
Year,10151.9,40.38,2.83,77.13,37456.45,40.51,3.33,82.33,66657.55,66.84,3.8,79.84,100749.7,41.93,3.9,74.05,208673.51,89.34,3.38,92.99,2017,Wisconsin
Year,9521.53,48.23,2.31,65.44,34742.94,72.72,3.87,135.14,64984.03,90.08,4.72,132.06,106778.9,106.08,8.72,147.56,274357.08,161.32,6.01,193.28,2017,Washington
Year,13231.11,41.04,1.94,65.63,35972.51,49.48,4.22,85.3,61659.3,65.9,2.91,101.54,111142.28,75.09,5.59,111.73,248861.65,129.31,5.5,153.76,2017,Virginia
Year,14692.4,28.45,2.87,64.38,37686.52,32.36,3.85,91.37,68037.08,64.57,4.77,92.2,102466.21,104.24,8.27,159.63,233735.45,125.33,12.34,165.72,2017,Utah
Year,12840.18,39.03,1.64,46.69,36642.36,54.93,2.34,53.41,64543.79,80.73,2.14,65.97,99801.65,64.34,3.23,74.96,216239.13,114.21,4.66,115.62,2017,Texas
Year,13073.13,13.37,0.95,40.0,36526.27,40.44,3.96,85.52,58544.0,46.0,2.35,75.79,100113.87,76.09,0.8,81.18,196461.12,66.13,6.48,165.0,2017,Tennessee
Year,,,,,,,,,,,,,,,,,,,,,2017,South Dakota
Year,13854.35,16.2,2.77,52.67,35143.35,57.46,4.28,75.79,66256.6,76.17,4.87,104.98,103544.0,88.05,8.02,123.17,208012.56,169.26,3.68,161.09,2017,South Carolina
Year,,,,,,,,,,,,,,,,,,,,,2017,Rhode Island
Year,9685.77,28.65,1.56,60.91,37142.73,47.78,5.13,104.65,61811.41,72.23,4.21,90.66,107107.35,107.28,5.86,145.55,207948.05,118.54,6.41,155.8,2017,Pennsylvania
Year,13048.08,61.32,3.96,71.39,38015.43,67.49,2.67,79.4,67027.42,78.98,3.57,96.96,103113.11,106.88,5.99,103.55,214114.03,120.31,10.18,172.28,2017,Oregon
Year,13601.14,9.37,4.13,102.12,36237.4,8.01,0.87,62.97,62275.03,53.59,2.49,111.81,107540.8,98.14,6.37,155.78,213800.84,144.57,2.48,76.16,2017,Oklahoma
Year,10702.19,44.75,2.14,53.57,36262.25,44.63,5.74,83.14,62752.63,64.06,2.92,69.49,106212.31,58.82,5.86,129.53,204814.74,132.78,9.26,168.4,2017,Ohio
Year,13390.14,32.31,2.19,59.03,37844.6,41.28,2.98,80.13,65858.19,51.89,2.85,94.6,103082.7,74.19,4.19,102.9,209802.05,122.71,4.7,154.0,2017,North Carolina
Year,11142.61,47.51,3.2,65.86,36150.53,43.55,4.49,92.96,63787.9,78.61,4.14,107.39,103548.7,72.35,4.99,105.21,199817.66,121.77,5.46,132.25,2017,New York
Year,11952.09,34.98,2.23,66.92,35803.61,35.15,4.23,108.44,63815.1,53.59,5.33,100.01,105832.12,62.83,6.92,121.56,225463.95,94.11,4.91,108.41,2017,New Jersey
Year,11932.0,52.34,2.39,86.07,35281.2,20.23,4.19,157.54,72843.45,38.02,2.64,88.97,,,,,259483.4,80.1,7.0,208.14,2017,New Hampshire
Year,13254.05,49.69,2.56,82.14,35495.65,41.63,1.26,38.57,61946.31,51.17,3.88,95.01,111695.28,63.32,3.25,93.54,234977.1,136.46,4.64,162.62,2017,Nevada
